Time,L2P6(W),Smoothing(a=0.3),Moving average
1,316.6,316.6,316.6
2,292.8,316.6,292.8
3,297.5,309.46,297.5
4,245.3,305.872,245.3
5,256.4,287.7004,261.2
6,214,278.31028,256.04
7,267,259.017196,241.84
8,226.5,261.4120372,244.72
9,259.7,250.938426,244.56
10,255.6,253.5668982,255.68
11,269.6,254.1768288,251.52
12,246.2,258.8037801,254.8
13,242.9,255.0226461,259.4
14,282.7,251.3858523,256.42
15,240.7,260.7800966,246.9
16,222,254.7560676,250.18
17,262.6,244.9292473,249.84
18,241.2,250.2304731,241.68
19,241.9,247.5213312,242.22
20,243.4,245.8349318,250.24
21,262.1,245.1044523,250.64
22,264.6,250.2031166,254.36
23,259.8,254.5221816,255.44
24,247.3,256.1055271,255.3
25,242.7,253.463869,249.54
26,233.3,250.2347083,241.14
27,222.6,245.1542958,238.96
28,248.9,238.3880071,235.4
29,229.5,241.5416049,238.06
30,256,237.9291235,238.18
31,233.9,243.3503864,245.18
32,257.6,240.5152705,245.42
33,250.1,245.6406893,245.68
34,230.8,246.9784825,244.56
35,250.4,242.1249378,241.92
36,220.7,244.6074564,239.26
37,244.3,237.4352195,235.88
38,233.2,239.4946537,234.76
39,225.2,237.6062576,229.34
40,223.3,233.8843803,236.38
41,255.9,230.7090662,235.58
42,240.3,238.2663463,238.04
43,245.5,238.8764424,245.4
44,262,240.8635097,254.82
45,270.4,247.2044568,247.52
46,219.4,254.1631198,246.82
47,236.8,243.7341838,241.66
48,219.7,241.6539287,240.5
49,256.2,235.0677501,237.9
50,257.4,241.4074251,238.76
51,223.7,246.2051975,235.34
52,219.7,239.4536383,234.02
53,213.1,233.5275468,219.6
54,184.1,227.3992828,206.98
55,194.3,214.4094979,212.16
56,249.6,208.3766486,212.74
57,222.6,220.743654,217.46
58,236.7,221.3005578,230.72
59,250.4,225.9203905,241.7
60,249.2,233.2642733,235.42
61,218.2,238.0449913,237.04
62,230.7,232.0914939,235.16
63,227.3,231.6740457,229.12
64,220.2,230.361832,230.56
65,256.4,227.3132824,220.62
66,168.5,236.0392977,215.38
67,204.5,215.7775084,214.8
68,224.4,212.3942559,221.14
69,251.9,215.9959791,212.54
70,213.4,226.7671854,231.76
71,264.6,222.7570298,237.3
72,232.2,235.3099208,240.68
73,241.3,234.3769446,233.66
74,216.8,236.4538612,232.9
75,209.6,230.5577028,228.4
76,242.1,224.270392,229.78
77,239.1,229.6192744,230.16
78,243.2,232.4634921,232.9
79,230.5,235.6844445,240.74
80,248.8,234.1291111,233.62
81,206.5,238.5303778,224.52
82,193.6,228.9212644,223.5
83,238.1,218.3248851,228.08
84,253.4,224.2574196,219.98
85,208.3,233.0001937,227.56
86,244.4,225.5901356,231.76
87,214.6,231.2330949,226.12
88,209.9,226.2431664,219.72
89,221.4,221.3402165,223.6
90,227.7,221.3581516,220.1
91,226.9,223.2607061,224.5
92,236.6,224.3524943,231.82
93,246.5,228.026746,236.36
94,244.1,233.5687222,239.68
95,244.3,236.7281055,237.18
96,214.4,238.9996739,230.14
97,201.4,231.6197717,223.06
98,211.1,222.5538402,213.54
99,196.5,219.1176881,201.22
100,182.7,212.3323817,208.02
101,248.4,203.4426672,205.38
102,188.2,216.929867,208.92
103,228.8,208.3109069,213.26
104,218.2,214.4576348,221.64
105,224.6,215.5803444,219.92
106,239.8,218.2862411,226.06
107,218.9,224.7403688,226.94
108,233.2,222.9882581,229.26
109,229.8,226.0517807,229.68
110,226.7,227.1762465,222.6
111,204.4,227.0333725,217.18
112,191.8,220.2433608,210.02
113,197.4,211.7103525,201.7
114,188.2,207.4172468,212.08
115,278.6,201.6520727,216.6
116,227,224.7364509,220.06
117,209.1,225.4155156,224.76
118,220.9,220.520861,230.26
119,215.7,220.6346027,213.9
120,196.8,219.1542219,223.38
121,274.4,212.4479553,228.9
122,236.7,231.0335687,226.76
123,210.2,232.7334981,226.76
124,215.7,225.9734487,221.98
125,172.9,222.8914141,204.94
126,189.2,207.8939898,191.52
127,169.6,202.2857929,199.5
128,250.1,192.480055,201.42
129,225.3,209.7660385,211.48
130,223.2,214.426227,216.58
131,214.7,217.0583589,223.8
132,205.7,216.3508512,222.1
133,241.6,213.1555958,225.44
134,242,221.6889171,226.54
135,228.7,227.782242,227.66
136,220.3,228.0575694,221.12
137,173,225.7302986,207.7
138,174.5,209.911209,198.84
139,197.7,199.2878463,190.22
140,185.6,198.8114924,189.4
141,216.2,194.8480447,198.24
142,217.2,201.2536313,203.64
143,201.5,206.0375419,209.54
144,227.2,204.6762793,214.38
145,209.8,211.4333955,230.74
146,298,210.9433769,230.14
147,214.2,237.0603638,232.44
148,213,230.2022547,227.94
149,204.7,225.0415783,218.06
150,160.4,218.9391048,200.7
151,211.2,201.3773734,190.68
152,164.1,204.3241613,194.14
153,230.3,192.2569129,190.4
154,186,203.6698391,197.72
155,197,198.3688873,191.04
156,177.8,197.9582211,204.04
157,229.1,191.9107548,186.14
158,140.8,203.0675284,191.26
159,211.6,184.3872699,202.1
160,251.2,192.5510889,200.94
161,172,210.1457622,191.64
162,182.6,198.7020336,199.78
163,181.5,193.8714235,199.06
164,208,190.1599964,192.26
165,217.2,195.5119975,199.26
166,207,202.0183983,204.06
167,206.6,203.5128788,217.9
168,250.7,204.4390151,206.8
169,152.5,218.3173106,200.86
170,187.5,198.5721174,205.22
171,228.8,195.2504822,195.62
172,158.6,205.3153375,182.6
173,185.6,191.3007363,193.02
174,204.6,189.5905154,201.68
175,230.8,194.0933608,198.12
176,211,205.1053525,206
177,198,206.8737468,209.02
178,200.7,204.2116227,225.38
179,286.4,203.1581359,219.8
180,202.9,228.1306951,216.32
181,193.6,220.5614866,216.12
182,197,212.4730406,209.3
183,166.6,207.8311284,192.92
184,204.5,195.4617899,201.82
185,247.4,198.1732529,207.64
186,222.7,212.9412771,211.68
187,217.2,215.8688939,219.5
188,205.7,216.2682258,208.92
189,151.6,213.097758,203.5
190,220.3,194.6484306,185.88
191,134.6,202.3439014,180.38
192,189.7,182.020731,186.66
193,237.1,184.3245117,204.06
194,238.6,200.1571582,193.9
195,169.5,211.6900107,210.3
196,216.6,199.0330075,216.24
197,219.4,204.3031053,209.2
198,201.9,208.8321737,204.9
199,217.1,206.7525216,203.48
200,162.4,209.8567651,197.38
201,186.1,195.6197356,187.48
202,169.9,192.7638149,186.8
203,198.5,185.9046704,181.94
204,192.8,189.6832693,193.4
205,219.7,190.6182885,193.64
206,187.3,199.342802,205.08
207,227.1,195.7299614,204.5
208,195.6,205.140973,205.44
209,197.5,202.2786811,200.96
210,197.3,200.8450768,206.88
211,216.9,199.7815537,200.9
212,197.2,204.9170876,203.5
213,208.6,202.6019613,202.92
214,194.6,204.4013729,204.2
215,203.7,201.460961,196.28
216,177.3,202.1326727,193.24
217,182,194.6828709,180.8
218,146.4,190.8780096,194.28
219,262,177.5346067,198
220,222.3,202.8742247,207.88
221,226.7,208.7019573,208.14
222,183.3,214.1013701,216.56
223,188.5,204.8609591,205.74
224,207.9,199.9526714,207.54
225,231.3,202.3368699,204.04
226,209.2,211.025809,207.62
227,201.2,210.4780663,207.2
228,186.4,207.6946464,201.28
229,178.3,201.3062525,188
230,164.9,194.4043767,176.84
231,153.4,185.5530637,184.42
232,239.1,175.9071446,183.1
233,179.8,194.8650012,185.34
234,189.5,190.3455009,187.86
235,177.5,190.0918506,199.98
236,214,186.3142954,194.26
237,210.5,194.6200068,196.6
238,191.5,199.3840048,189.34
239,153.2,197.0188033,189.98
